idRuta,rutaDirection,estNumber,estId
353,,0,7675
353,,1,7671
353,,2,7655
353,,3,7653
353,,4,7650
353,,5,7649
353,,6,7648
314,,0,7733
314,,1,7731
314,,2,7728
314,,3,7727
314,,4,7602
314,,5,7601
314,,6,7599
314,,7,7711
314,,8,7713
314,,9,7716
314,,10,7717
314,,11,7718
314,,12,7721
314,,13,7722
314,,14,7723
295,,0,7687
295,,1,7686
295,,2,7683
295,,3,7681
295,,4,7679
295,,5,7677
295,,6,7648
295,,7,7589
295,,8,7590
295,,9,7591
532,,1,4223
532,,2,4274
532,,3,4262
532,,4,4276
354,,0,7648
354,,1,7649
354,,2,7650
354,,3,7653
354,,4,7655
354,,5,7671
354,,6,7675
279,,0,7616
279,,1,7613
279,,2,7612
279,,3,7611
279,,4,7610
279,,5,7609
279,,6,7589
279,,7,7590
330,,0,7733
330,,1,7731
330,,2,7728
330,,3,7727
330,,4,7602
330,,5,7601
330,,6,7599
330,,7,7711
330,,8,7713
330,,9,7714
330,,10,7716
330,,11,7717
330,,12,7718
330,,13,7721
330,,14,7722
330,,15,7723
574,,1,6049
574,,2,3619
574,,3,6051
574,,4,6085
574,,5,6089
574,,6,6087
574,,7,6053
574,,8,6054
574,,9,6082
574,,10,1180
574,,11,1181
574,,12,6041
574,,13,5004
386,,0,7691
386,,1,7690
386,,2,7753
386,,3,7682
386,,4,7677
386,,5,7676
386,,6,7656
386,,7,7653
386,,8,7650
315,,0,7723
315,,1,7722
315,,2,7721
315,,3,7718
315,,4,7717
315,,5,7716
315,,6,7713
315,,7,7711
315,,8,7599
315,,9,7601
315,,10,7602
315,,11,7727
315,,12,7728
315,,13,7731
315,,14,7733
609,,1,4223
609,,2,4274
609,,3,4262
609,,4,4276
272,,0,7675
272,,1,7674
272,,2,7673
272,,3,7672
272,,4,7671
272,,5,7670
272,,6,7669
272,,7,7668
272,,8,7667
272,,9,7666
272,,10,7665
272,,11,7664
272,,12,7663
272,,13,7662
272,,14,7661
272,,15,7660
272,,16,7659
272,,17,7601
272,,18,7600
272,,19,7599
272,,20,7598
272,,21,7596
272,,22,7595
272,,23,7594
272,,24,7593
272,,25,7592
272,,26,7591
272,,27,7590
272,,28,7589
272,,29,7603
272,,30,7604
272,,31,7605
272,,32,7606
272,,33,7607
272,,34,7608
272,,35,7609
272,,36,7610
272,,37,7611
272,,38,7612
272,,39,7613
272,,40,7614
272,,41,7615
272,,42,7616
272,,43,7617
272,,44,7618
272,,45,7619
387,,0,7650
387,,1,7653
387,,2,7656
387,,3,7676
387,,4,7677
387,,5,7682
