idRuta,tipoRuta,codigoRuta,rutaNombre,rutaLink
20,8,105,Boitá - Bachué,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=20&tr=&estacion=&tipoRuta=8
122,8,107A,Jaqueline - Chapinero,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=122&tr=&estacion=&tipoRuta=8
123,8,107B,Colina - Pq. Central Bavaria,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=123&tr=&estacion=&tipoRuta=8
21,8,108,Bachué - Ciudad Kenndedy,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=21&tr=&estacion=&tipoRuta=8
22,8,111,Metrovivienda - San Rafael Sur Or.,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=22&tr=&estacion=&tipoRuta=8
23,8,112,Cortijo - Porvenir,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=23&tr=&estacion=&tipoRuta=8
124,8,113B,Villa Alexandra - Paloquemao,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=124&tr=&estacion=&tipoRuta=8
125,8,114A,Altos de Zuque - Paloquemao,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=125&tr=&estacion=&tipoRuta=8
24,8,117,San Bernardino - Potreritos - Libertadores,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=24&tr=&estacion=&tipoRuta=8
25,8,119,Metrovivienda - El Cortijo,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=25&tr=&estacion=&tipoRuta=8
3,8,12,Fontibón San Pablo - Porciúncula,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=3&tr=&estacion=&tipoRuta=8
26,8,120,Bosa San José - Egipto,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=26&tr=&estacion=&tipoRuta=8
27,8,121,El Recreo - San Diego,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=27&tr=&estacion=&tipoRuta=8
28,8,128,Centro - Villa Gladys,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=28&tr=&estacion=&tipoRuta=8
4,8,13,Brasilia - Germania,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=4&tr=&estacion=&tipoRuta=8
